ID,StateCode,CountyCode,CountyName,Year,Force,Employed,Unemployed,Percent
CN0100100000000,01,001,"Autauga County, AL",2015,"25,303     ","23,971     ","1,332     ",5.3     
CN0100300000000,01,003,"Baldwin County, AL",2015,"87,756     ","82,882     ","4,874     ",5.6     
CN0100500000000,01,005,"Barbour County, AL",2015,"8,646     ","7,881     ",765     ,8.8     
CN0100700000000,01,007,"Bibb County, AL",2015,"8,526     ","7,957     ",569     ,6.7     
CN0100900000000,01,009,"Blount County, AL",2015,"24,343     ","23,021     ","1,322     ",5.4     
CN0101100000000,01,011,"Bullock County, AL",2015,"4,779     ","4,400     ",379     ,7.9     
CN0101300000000,01,013,"Butler County, AL",2015,"9,155     ","8,460     ",695     ,7.6     
CN0101500000000,01,015,"Calhoun County, AL",2015,"46,048     ","42,813     ","3,235     ",7.0     
CN0101700000000,01,017,"Chambers County, AL",2015,"15,074     ","14,167     ",907     ,6.0     
CN0101900000000,01,019,"Cherokee County, AL",2015,"11,208     ","10,598     ",610     ,5.4     
CN0102100000000,01,021,"Chilton County, AL",2015,"19,032     ","17,951     ","1,081     ",5.7     
CN0102300000000,01,023,"Choctaw County, AL",2015,"4,398     ","3,999     ",399     ,9.1     
CN0102500000000,01,025,"Clarke County, AL",2015,"8,026     ","7,087     ",939     ,11.7     
CN0102700000000,01,027,"Clay County, AL",2015,"5,574     ","5,232     ",342     ,6.1     
CN0102900000000,01,029,"Cleburne County, AL",2015,"5,701     ","5,358     ",343     ,6.0     
CN0103100000000,01,031,"Coffee County, AL",2015,"20,360     ","19,151     ","1,209     ",5.9     
CN0103300000000,01,033,"Colbert County, AL",2015,"23,676     ","21,804     ","1,872     ",7.9     
CN0103500000000,01,035,"Conecuh County, AL",2015,"4,701     ","4,269     ",432     ,9.2     
CN0103700000000,01,037,"Coosa County, AL",2015,"4,445     ","4,149     ",296     ,6.7     
CN0103900000000,01,039,"Covington County, AL",2015,"15,525     ","14,420     ","1,105     ",7.1     
CN0104100000000,01,041,"Crenshaw County, AL",2015,"6,365     ","5,984     ",381     ,6.0     
CN0104300000000,01,043,"Cullman County, AL",2015,"36,497     ","34,581     ","1,916     ",5.2     
CN0104500000000,01,045,"Dale County, AL",2015,"19,925     ","18,662     ","1,263     ",6.3     
CN0104700000000,01,047,"Dallas County, AL",2015,"15,657     ","14,160     ","1,497     ",9.6     
CN0104900000000,01,049,"DeKalb County, AL",2015,"28,895     ","27,148     ","1,747     ",6.0     
CN0105100000000,01,051,"Elmore County, AL",2015,"36,309     ","34,461     ","1,848     ",5.1     
CN0105300000000,01,053,"Escambia County, AL",2015,"14,663     ","13,635     ","1,028     ",7.0     
CN0105500000000,01,055,"Etowah County, AL",2015,"43,202     ","40,558     ","2,644     ",6.1     
CN0105700000000,01,057,"Fayette County, AL",2015,"6,433     ","5,982     ",451     ,7.0     
CN0105900000000,01,059,"Franklin County, AL",2015,"13,717     ","12,837     ",880     ,6.4     
CN0106100000000,01,061,"Geneva County, AL",2015,"10,834     ","10,195     ",639     ,5.9     
CN0106300000000,01,063,"Greene County, AL",2015,"2,879     ","2,560     ",319     ,11.1     
CN0106500000000,01,065,"Hale County, AL",2015,"6,011     ","5,540     ",471     ,7.8     
CN0106700000000,01,067,"Henry County, AL",2015,"6,746     ","6,289     ",457     ,6.8     
CN0106900000000,01,069,"Houston County, AL",2015,"44,746     ","41,961     ","2,785     ",6.2     
CN0107100000000,01,071,"Jackson County, AL",2015,"23,547     ","21,984     ","1,563     ",6.6     
CN0107300000000,01,073,"Jefferson County, AL",2015,"309,112     ","291,175     ","17,937     ",5.8     
CN0107500000000,01,075,"Lamar County, AL",2015,"5,640     ","5,285     ",355     ,6.3     
CN0107700000000,01,077,"Lauderdale County, AL",2015,"42,783     ","39,818     ","2,965     ",6.9     
CN0107900000000,01,079,"Lawrence County, AL",2015,"13,783     ","12,725     ","1,058     ",7.7     
CN0108100000000,01,081,"Lee County, AL",2015,"71,622     ","67,892     ","3,730     ",5.2     
CN0108300000000,01,083,"Limestone County, AL",2015,"39,861     ","37,670     ","2,191     ",5.5     
CN0108500000000,01,085,"Lowndes County, AL",2015,"3,786     ","3,344     ",442     ,11.7     
CN0108700000000,01,087,"Macon County, AL",2015,"7,991     ","7,350     ",641     ,8.0     
CN0108900000000,01,089,"Madison County, AL",2015,"170,509     ","161,126     ","9,383     ",5.5     
CN0109100000000,01,091,"Marengo County, AL",2015,"7,439     ","6,871     ",568     ,7.6     
CN0109300000000,01,093,"Marion County, AL",2015,"12,538     ","11,669     ",869     ,6.9     
CN0109500000000,01,095,"Marshall County, AL",2015,"40,516     ","38,176     ","2,340     ",5.8     
CN0109700000000,01,097,"Mobile County, AL",2015,"183,728     ","170,854     ","12,874     ",7.0     
CN0109900000000,01,099,"Monroe County, AL",2015,"7,371     ","6,631     ",740     ,10.0     
CN0110100000000,01,101,"Montgomery County, AL",2015,"103,801     ","97,384     ","6,417     ",6.2     
CN0110300000000,01,103,"Morgan County, AL",2015,"55,363     ","52,129     ","3,234     ",5.8     
CN0110500000000,01,105,"Perry County, AL",2015,"3,495     ","3,147     ",348     ,10.0     
CN0110700000000,01,107,"Pickens County, AL",2015,"7,953     ","7,411     ",542     ,6.8     
CN0110900000000,01,109,"Pike County, AL",2015,"15,005     ","14,021     ",984     ,6.6     
CN0111100000000,01,111,"Randolph County, AL",2015,"9,475     ","8,917     ",558     ,5.9     
CN0111300000000,01,113,"Russell County, AL",2015,"24,213     ","22,780     ","1,433     ",5.9     
CN0111500000000,01,115,"St. Clair County, AL",2015,"38,355     ","36,334     ","2,021     ",5.3     
CN0111700000000,01,117,"Shelby County, AL",2015,"107,578     ","103,016     ","4,562     ",4.2     
CN0111900000000,01,119,"Sumter County, AL",2015,"5,130     ","4,721     ",409     ,8.0     
CN0112100000000,01,121,"Talladega County, AL",2015,"35,225     ","32,911     ","2,314     ",6.6     
CN0112300000000,01,123,"Tallapoosa County, AL",2015,"18,823     ","17,680     ","1,143     ",6.1     
CN0112500000000,01,125,"Tuscaloosa County, AL",2015,"98,138     ","92,741     ","5,397     ",5.5     
CN0112700000000,01,127,"Walker County, AL",2015,"25,426     ","23,577     ","1,849     ",7.3     
CN0112900000000,01,129,"Washington County, AL",2015,"6,703     ","6,105     ",598     ,8.9     
CN0113100000000,01,131,"Wilcox County, AL",2015,"2,836     ","2,421     ",415     ,14.6     
CN0113300000000,01,133,"Winston County, AL",2015,"9,399     ","8,692     ",707     ,7.5     
CN0201300000000,02,013,"Aleutians East Borough, AK",2015,"2,472     ","2,394     ",78     ,3.2     
CN0201600000000,02,016,"Aleutians West Census Area, AK",2015,"4,058     ","3,904     ",154     ,3.8     
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2015,"156,521     ","148,721     ","7,800     ",5.0     
CN0205000000000,02,050,"Bethel Census Area, AK",2015,"7,344     ","6,298     ","1,046     ",14.2     
CN0206000000000,02,060,"Bristol Bay Borough, AK",2015,381     ,346     ,35     ,9.2     
CN0206800000000,02,068,"Denali Borough, AK",2015,"1,068     ",976     ,92     ,8.6     
CN0207000000000,02,070,"Dillingham Census Area, AK",2015,"2,037     ","1,842     ",195     ,9.6     
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2015,"46,322     ","43,823     ","2,499     ",5.4     
CN0210000000000,02,100,"Haines Borough, AK",2015,"1,084     ",979     ,105     ,9.7     
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2015,"1,130     ",961     ,169     ,15.0     
CN0211000000000,02,110,"Juneau Borough/city, AK",2015,"17,065     ","16,269     ",796     ,4.7     
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2015,"27,588     ","25,449     ","2,139     ",7.8     
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2015,"6,950     ","6,477     ",473     ,6.8     
CN0215000000000,02,150,"Kodiak Island Borough, AK",2015,"6,610     ","6,295     ",315     ,4.8     
CN0215800000000,02,158,"Kusilvak Census Area, AK",2015,"2,800     ","2,158     ",642     ,22.9     
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2015,645     ,565     ,80     ,12.4     
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2015,"46,099     ","42,595     ","3,504     ",7.6     
CN0218000000000,02,180,"Nome Census Area, AK",2015,"4,073     ","3,592     ",481     ,11.8     
CN0218500000000,02,185,"North Slope Borough, AK",2015,"4,299     ","4,056     ",243     ,5.7     
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2015,"2,902     ","2,442     ",460     ,15.9     
CN0219500000000,02,195,"Petersburg Borough, AK",2015,"1,492     ","1,360     ",132     ,8.8     
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2015,"2,756     ","2,413     ",343     ,12.4     
CN0222000000000,02,220,"Sitka Borough/city, AK",2015,"4,593     ","4,384     ",209     ,4.6     
CN0223000000000,02,230,"Skagway Municipality, AK",2015,810     ,718     ,92     ,11.4     
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2015,"3,002     ","2,686     ",316     ,10.5     
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2015,"4,871     ","4,454     ",417     ,8.6     
CN0227500000000,02,275,"Wrangell Borough/city, AK",2015,"1,029     ",949     ,80     ,7.8     
CN0228200000000,02,282,"Yakutat Borough/city, AK",2015,259     ,237     ,22     ,8.5     
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2015,"2,403     ","1,966     ",437     ,18.2     
